Gene_name	S1-d0	S2-d0	S3-d0	S4-d0	S5-d0	S6-d0	S7-d0	S8-d0	S9-d0	S10-d0	S1-d10	S2-d10	S3-d10	S4-d10	S5-d10	S6-d10	S7-d10	S8-d10	S9-d10	S10-d10
A830082N09Rik	31	43	62	90	106	22	36	38	77	65	45	69	64	90	99	56	51	45	121	62
Ppfia4	76	68	111	153	155	198	187	347	217	254	130	173	105	182	150	167	51	155	242	300
Fignl2	92	101	102	202	180	217	213	360	403	314	251	235	207	250	284	435	169	378	544	468
Cdcp2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	1
Oca2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Olfr667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lgals8	1975	1649	1933	2332	2710	2709	2035	2634	2230	2253	2646	2559	1929	2478	3244	2446	1401	2265	2777	2611
Hmx2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc6a13	0	0	1	0	0	9	18	7	13	4	22	32	23	37	14	40	46	49	110	33
Arnt2	651	1046	1092	1421	1275	385	607	644	1003	699	873	1423	974	1296	1692	305	206	244	590	376
Adprhl2	487	437	485	782	738	546	605	588	854	820	570	655	465	632	804	654	222	584	761	754
Mbip	307	260	301	374	355	351	334	355	351	380	323	417	258	357	477	300	226	275	351	333
Zscan2	206	188	275	278	298	225	269	367	275	292	250	249	160	240	266	212	111	174	255	164
Stk32a	8	2	5	3	6	1	7	2	1	5	1	5	3	5	4	2	4	5	1	0
Ttc32	75	57	85	123	109	100	80	92	152	110	122	141	89	116	118	165	66	105	127	143
Proser3	186	144	230	219	191	188	214	265	215	162	188	177	132	151	229	176	99	166	209	229
Gm4814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gdf15	57	78	50	83	47	53	10	15	119	61	107	134	76	88	113	524	44	341	181	348
Ube2q2	881	839	874	1169	1325	966	822	838	1270	1284	1197	1217	1015	1423	1558	1278	587	1097	1262	1234
3110040N11Rik	164	193	251	284	259	247	230	230	293	294	208	275	188	301	358	204	118	212	258	305
E330016L19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Raet1b	0	0	0	0	0	0	0	0	0	6.14	0	0	0	0	0	0	0	0	0	0
Gm9733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ttll10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taar7f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scarletltr	3	0	2	1	1	1	1	2	2	1	0	0	0	0	1	0	0	0	1	1
Srarp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Slc25a44	1130	1065	1206	1556	1736	1294	1545	1342	1853	1671	1905	2533	1756	2410	2300	2214	1118	2130	2095	2176
Kdelc1	1336	1219	1442	1811	1985	1464	1477	1373	1772	1888	1476	1599	1092	1654	2266	1203	598	1130	1387	1347
1110058D11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Rab11fip3	1816	1852	2034	2694	3062	1732	2051	2132	3017	2607	2262	2809	1819	2615	3525	1987	923	1586	2433	2187
Nfrkb	1114	921	1090	1227	1526	1112	1188	1344	1434	1237	1176	1402	1177	1378	1647	1057	556	1132	1397	1291
Spast	1389	1452	1466	2071	2359	1427	1622	1463	1770	1665	1699	1879	1257	1928	2318	1158	687	1081	1326	1349
Ints12	716	607	676	931	1021	780	736	752	904	851	805	818	529	866	1111	614	387	627	754	717
Rps23	13825	12853	14505	20043	17950	16802	16878	15952	17778	17258	11900	13326	8595	12809	17873	13254	6374	11584	15412	14793
Mir3473f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir302c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fpr-rs4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Padi2	38	20	12	75	96	65	16	35	13	47	20	15	15	32	41	19	2	21	18	17
Gm10488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccl2	1033	637	670	530	417	1260	706	833	741	318	468	538	231	246	755	118	170	253	232	167
Olfr1086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr78	215	89	35	179.85	166	12	10	11	0	1	94	55	34	39	52	5	0	0	3	4
Adra1b	125	82	153	168	147	97	161	130	323	300	163	276	181	210	201	140	100	226	348	312
Naip2	259	85	154	316	473	313	41	192	356	455	404	280	304	296	376	433	110	517	479	575
Rsph4a	3	5	2	3	0	4	4	6	4	0	3	0	2	0	0	1	2	2	4	0
Adamts9	1075	540	868	1095	3048	899	1090	678	1674	2099	2335	3660	2635	3303	3730	1965	1679	2718	3763	3475
Neurod2	15	1	0	0	0	1	1	0	0	0	4	4	0	0	0	4	0	1	0	0
Fam163a	2	1	3	1	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	1
Olfr293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tuba8	35	71	16	16	19	11	14	9	3	4	13	6	6	6	31	7	3	0	1	1
Fam198b	6162	12059	3955	9490	9287	3545	6968	2540	6395	5449	7609	7603	4518	7912	12039	3274	1845	2817	5177	4330
Pola2	705	568	857	897	831	680	830	656	782	741	453	530	344	476	651	453	216	385	529	486
AF357355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cmss1	137	108	206	213	233	125	145	163	215	156	182	312	171	325	271	172	110	143	143	156
Elmod3	301	266	334	524	496	434	453	636	683	627	498	533	351	569	682	701	336	584	829	703
Fam210a	1275	1344	1445	2109	2073	1144	1238	1433	2088	1819	1962	2442	1979	2664	2497	1907	1331	1997	2310	1996
Gm732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110006O24Rik	34	23	31	37	38	44	46	45	45	43	30	44	26	37	38	40	7	28	28	41
Prelid1	8013	7744	8252	10403	9156	9754	10639	8641	7613	6987	7794	8290	5297	7584	10255	5435	2623	4495	5167	5426
Fos	902	361	574	546	743	902	674	945	634	593	2369	3146	1644	956	2747	3350	434	441	924	824
Slc25a20	807	848	858	1215	1223	914	1031	1069	1245	1167	1513	2361	1755	2559	2102	1734	876	1638	1625	1591
Mir3057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm45929	0	0	0	0	0	0	0	0	0	0	0	0	0	4.12	0	0	0	0	0	0
Npm1	18282	20469	22342	24253	25417	14780	18423	18074	17410	16961	14784	18722	12391	17326	21790	9957	9409	10809	12343	10950
Serpina3n	180	1600	276	4961	275	8229	20722	9154	61432	22557	976	2311	304	2594	1023	21666	25475	20502	68916	27105
Klhl41	8	7	18	27	23	15	11	16	10	15	35	15	8	18	49	8	11	21	22	28
Nudt12	97	91	122	156	188	123	113	172	160	155	212	254	201	310	260	275	159	277	306	234
Krt42	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
2210416O15Rik	5	5.03	4.02	2.01	8	6.02	8.01	6.02	3	2	8.01	7.03	2.01	4.01	4	8.01	0	6.01	4.01	6.02
Map7	29	26	25	38	46	25	12	24	25	29	119	88	57	81	174	40	19	23	41	33
Olfr26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ndrg3	1772	1329	2225	2392	3015	2490	2111	2841	3112	3162	3076	3443	2354	3781	5241	2660	1199	2346	2989	3179
Klhl21	1039	1142	1000	1521	1637	1183	1327	1344	2005	1873	1318	1315	962	1424	1875	1914	427	1169	1906	1740
Rnf219	495	451	511	744	782	380	463	409	679	605	445	483	334	560	657	356	211	344	539	430
Pfkfb2	683	605	735	1016	1305	1003	814	995	1212	1214	1059	1199	957	1292	1488	995	546	979	1539	1269
Adgrf4	4	1	0	3	2	11	8	5	12	2	15	1	3	7	5	66	0	15	17	23
Ints5	1324	1183	1300	1882	1716	1173	1455	1360	1620	1224	1289	1390	891	1278	1731	1006	353	780	1158	973
Wdr54	68	58	70	101	89	34	56	44	50	60	55	51	44	60	99	49	5	13	30	43
Nme4	386	315	460	660	507	517	569	546	668	503	497	615	392	588	695	488	259	528	672	503
F830016B08Rik	37	9	45	7	39	237	45	509	44	70	127	30	122	30	47	417	302	394	244	260
Smim15	1428	1785	1211	2010	2139	1383	1311	1137	1559	1510	1521	1346	1038	1715	2194	944	558	863	1207	1067
Pgd	5801	4617	4465	6013	5923	6774	5838	4850	6556	5835	9160	9034	6862	7268	7697	12611	5685	10241	10334	11899
Zfp426	518	508	601	809	866	642	622	658	818	837	672	727	490	769	895	598	390	612	933	758
Hykk	244	319	405	531	517	333	481	496	636	484	326	461	295	543	572	380	265	323	552	419
Olfr822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mrps12	533	569	479	740	647	684	693	541	746	608	602	666	430	553	795	706	251	490	582	679
Atp6v1e1	1932	1894	1734	3082	3597	3119	2662	2439	4025	4105	2956	3012	2157	3383	4033	4013	1570	3388	4068	4608
Snord71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nemp2	127	90	174	249	236	149	177	234	246	226	143	137	101	154	182	96	73	138	245	159
Lyz2	31341	3750	9337	27276	55940	64916	8685	21640	66781	75323	66788	40432	32284	35160	51092	37005	12180	36989	60999	63772
Mrpl16	496	498	498	667	709	533	480	528	559	542	613	694	495	758	759	613	333	568	552	593
Arhgef28	1068	1356	685	1149	999	970	1707	978	1241	852	768	844	448	858	1040	463	279	382	736	528
Ercc5	1372	1404	1441	1919	1992	1702	2236	1789	2097	1702	1549	1792	1082	1886	2456	1264	799	1220	1812	1515
Whrn	285	306	265	398	403	152	161	180	145	135	329	560	411	385	471	114	58	135	144	134
Gm29669	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	8	2	2	2	1
Lyrm7	18	55	64	67	55	17	44	67	54	48	32	95	110	91	82	37	47	92	82	66
Esp34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rcc2	8805	8348	10263	13220	12582	6419	7089	6491	6052	5603	7798	9628	7231	9493	13440	3729	1316	2816	4090	4030
Nek11	6	8	1	5	4	0	6	7	2	3	1	9	2	4	9	3	4	5	8	5
Slc5a5	1	0	6	2	3	7	13	17	12	5	1	0	1	1	12	2	3	3	12	9
Olfr781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm13043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hilpda	191	187	213	478	367	260	273	250	541	433	383	314	214	474	515	271	88	235	431	378
Spns2	84	51	66	79	122	50	65	34	40	60	153	85	64	103	224	99	16	49	28	87
Cdh10	299	947	398	863	618	149	433	76	117	75	162	241	128	278	409	19	24	37	34	30
Dcaf15	829	737	885	1064	949	684	788	586	657	629	586	743	539	710	912	465	135	388	493	488
Exoc1	1301	1080	1240	1743	1974	1608	1521	1524	1607	1469	1313	1346	955	1324	1818	1226	581	1050	1577	1494
Appl2	730	590	971	1418	1823	1447	1483	2284	3676	3574	1544	1877	1355	1981	2196	3743	1690	3088	4468	4486
Sla	406	101	78	382	569	692	129	249	948	1248	399	372	271	349	416	586	186	613	730	869
5830428M24Rik	0	2	0	0	1	1	0	2	2	4	1	2	1	1	2	1	0	1	0	2
Hist1h4a	3	5	2	4	2	5	2	0	2	0	3	3	3	4	5	2	1	3	2	0
Mbd3l2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ceacam10	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	62	4	4	8	1
Capn6	2653	2897	9471	12635	14609	9292	12693	21781	20784	16635	12155	34954	20182	39174	29385	4874	7740	10608	12891	6064
Ece1	5766	4852	4464	4861	5966	5844	6389	5993	8177	6600	4687	4223	2922	3310	5551	4619	2176	3235	4741	4295
Ugt1a6a	196.87	42.74	157.8	104.42	148.1	543.09	259.51	682.71	842.08	929.59	695.01	417.84	450.31	402.11	517.67	2020.29	764.11	1385.61	2014.57	1842.52
Krtap31-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rfwd3	1599	1349	1507	1952	1996	1344	1394	1235	1507	1320	1430	1423	995	1486	1772	1076	499	979	1208	1181
Gm3086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
Prkag2os1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir7063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cspg4	5899	8134	5559	5654	5249	2711	3230	3728	3895	3413	3832	3606	2416	3342	6645	1280	732	1517	1769	2074
Zfp995	44	62	51	99	108	58	57	90	94	91	63	68	76	71	86	46	128	86	71	78
Aida	2132	2301	2353	2871	2964	2464	3039	3056	3976	3342	1873	2231	1614	2383	3064	2137	1698	2171	2963	2350
Wbp2	2665	2596	2459	3496	3802	3366	3265	3077	4004	3687	4273	4664	3233	3836	4678	5483	2266	4129	4433	4886
Pigk	3021	2867	3187	4899	4973	2904	3171	2465	3608	3202	3523	3808	2520	4212	5782	2423	1235	2307	3310	3006
Olfr652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15694	15	20	11	11	16	10	11	3	7	11	9	15	7	10	16	3	5	6	9	8
Dhx16	1447	1254	1617	1775	1976	1735	1566	1743	1898	1816	1657	1772	1284	1784	2161	1647	741	1454	1738	1644
C130021I20Rik	716	446	1013	1026	1063	1092	793	1283	1115	1082	1027	919	1047	1013	1207	693	264	796	1167	1154
Rnft1	1263	1542	1211	1717	1685	1318	1459	1383	1617	1476	1741	1495	1131	1589	2099	1343	745	1187	1435	1352
Snord100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zc3h14	3461	3634	3956	4502	4480	3410	3710	3551	3427	3393	3582	4044	2844	3837	5176	2874	1849	2688	3315	3070
Npr1	16	13	13	12	16	15	31	38	49	28	21	31	23	37	44	769	316	613	420	379
Defb30	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Rps6ka3	2496	2716	2837	4002	4086	2522	2739	2975	4745	3959	3465	4229	3666	4351	4713	3538	3694	5352	6627	4874
4933433H22Rik	2	5	0	4	0	3	5	3	1	1	4	3	0	2	4	3	1	1	2	0
A630012P03Rik	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vtn	2	1	1	4	11	5	2	5	13	2	5	13	9	9	9	4	4	7	13	1
Hp	38	117	194	363	477	129	207	320	4829	4601	10901	8375	7063	10223	9600	24239	13304	22769	23144	18065
Klf14	28	42	92	154	105	54	114	129	181	140	59	268	246	212	172	91	76	115	75	54
Poli	160	138	290	314	362	211	221	357	349	326	259	382	286	359	367	284	213	312	375	285
Hgh1	319	313	300	449	414	180	186	195	328	235	255	295	212	317	347	189	71	210	226	221
Abhd1	155	33	35	34	84	217	42	47	53	85	607	101	65	82	212	710	37	79	75	312
Fam135b	5	3	7	1	3	3	0	0	5	6	19	0	2	3	8	83	2	2	10	17
Olfr368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Six5	648	534	1017	1009	1096	1088	1140	1438	1340	1151	902	1265	885	1100	1261	1088	446	976	1245	1159
Prss44	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0
Tnfaip8l2	329	53	88	417	797	346	63	115	566	691	764	527	488	639	721	544	84	461	489	675
Trp53i11	423	300	393	372	487	381	297	455	293	365	1046	447	423	406	1040	275	92	301	313	424
Vmn2r27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ces1a	13	8	8	7	23	228	235	279	54	51	10	9	6	15	17	87	38	59	125	76
Edil3	1221	1790	2220	4160	3105	2420	3382	3204	3805	3684	2653	4354	2502	5617	7113	2425	2689	3964	6572	5172
Mir669a-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2al1n	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mok	26	24	31	35	34	29	40	51	31	31	28	33	20	25	61	18	15	20	36	18
Ssxa1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp36	1649	1702	1698	1994	2243	1134	1387	1168	1353	1200	1723	1949	1434	1709	2312	1134	543	1035	1417	1180
Mir6769b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snord49b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clec4a4	1	0	0	0	0	0	0	0	1	5	0	2	4	3	2	1	0	0	4	2
Tarbp1	316	373	279	408	406	232	242	213	306	259	283	311	197	320	352	169	103	149	199	189
6430573F11Rik	10	1	15	14	20	3	3	9	10	27	28	43	26	59	35	28	16	34	35	32
Clrn2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir669j	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lhx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Rspry1	1141	1171	1343	1767	1722	1474	1489	1560	1758	1625	1466	1483	1111	1674	2089	1220	615	1132	1440	1239
Oplah	275	156	321	361	491	789	660	1181	2061	1923	659	782	534	929	919	2286	692	1612	2566	2339
Arhgap24	1463	1130	1165	1421	1724	2485	2549	2549	3713	3626	1289	1240	760	944	1604	2209	1546	2591	3576	3494
Shisa2	320	114	516	694	1103	150	324	353	239	215	1087	1173	929	1166	1651	86	67	192	91	128
Psmc6	2990	3403	3056	3880	3794	2887	3102	2501	2882	2616	3048	3208	2141	3100	4198	2394	1804	2311	2763	2697
Pdpr	671	628	873	1013	1199	649	705	887	1113	1110	1022	1280	1000	1293	1390	977	477	952	1098	939
4930506C21Rik	0	3	6	7	6	1	2	6	0	7	4	5	6	15	12	10	6	6	9	4
D5Ertd605e	13	12	13	43	24	29	30	33	38	24	12	15	10	24	19	12	15	17	29	15
Ywhae	12229	13133	12233	15442	16115	13273	15295	12256	12971	11949	11799	12687	8655	12047	16108	9636	6687	8672	9904	10023
4930595D18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trmu	216	202	257	292	342	257	223	238	302	316	285	310	246	371	380	328	145	300	342	345
Ddit4	1832	1951	1942	3245	1673	2374	2554	2521	1912	1468	2164	1505	1240	2321	2281	1935	402	1068	1729	1482
Cnnm3	570	410	542	781	1080	573	501	690	1064	936	724	826	639	978	1150	964	322	737	1017	953
Capn9	0	1	2	1	0	1	4	1	4	5	4	3	1	2	0	103	14	46	5	33
C4b	135	52	170	28	483	239	46	323	320	2883	1345	118	773	124	1261	10480	376	7843	1091	11828
Epgn	0	1	2	2	4	4	3	3	5	0	0	3	0	3	6	2	0	0	6	4
Safb	2657	2405	2918	3409	3684	2380	2668	2657	3097	2904	2621	2961	1922	2878	3397	2478	1442	2028	2998	2651
Ncan	20	3	4	3	6	7	1	1	1	2	199	214	198	166	62	76	27	40	20	63
Sgk1	2266	1958	1965	2174	2342	6093	5122	4822	6501	6471	3784	2862	2376	2323	6177	7218	3606	6059	7449	8375
Pnldc1	10	7	17	20	24	17	15	13	17	15	26	31	22	34	32	21	6	21	22	31
Mir290a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rn45s	298862	260251	416468	1304835	3450461	429041	405116	520355	4959675	4549330	430975	307473	397366	2745664	2875434	431206	120502	1074650	2381190	2797661
Hif3a	21	36	20	20	13	494	967	1770	4867	3963	278	375	236	301	192	4994	2498	3039	5948	3788
Tceal6	0	0	0	1	0	1	2	0	0	1	0	0	0	0	2	0	1	0	0	0
Rec8	0	1	8	2	0	0	12	47	0	0	0	1	8	5	1	0	1	1	0	1
Kmt2e	3921	3749	4892	4515	6166	4383	4719	6133	5009	5004	5229	5809	4347	4947	6387	4815	3458	4390	5452	4847
Eif2s3y	1073	472	942	562	5	1255	493	1044	477	0	1451	597	1028	585	1	1213	388	1065	587	3
Mir7661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam184b	2	2	6	3	13	2	3	4	14	16	13	17	4	8	3	29	5	6	5	27
Rbm45	1002	1003	1045	1315	1321	1053	1147	1157	1265	1081	1007	1235	748	1168	1498	767	455	740	992	928
Tfap2c	1	0	0	1	1	3	3	0	0	0	1	1	0	0	1	2	0	0	0	0
Ubqln3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AI450353	14	9	13.38	26	33	23	25	24	18	37	11	20	15	18	22	20	11	20	31	23
5430427O19Rik	91	20	38	91	132	66	22	38	75	92	96	74	64	105	114	78	29	97	102	127
P3h2	71	86	65	112	160	105	143	121	313	238	360	372	275	317	377	254	90	156	228	198
Mir6352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rap1gapos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Togaram1	1253	1371	1409	1874	2033	1164	1269	1395	2101	1939	1580	1495	1110	1641	1946	1352	692	1071	1566	1202
Samd9l	1470	1083	1423	1462	1789	3028	1995	3747	2334	2230	2003	1741	1499	2040	2257	2247	1747	2524	2391	2384
Klhl8	238	189	230	378	435	226	221	264	395	479	338	416	301	469	483	351	170	285	457	422
Mrpl1	352	374	371	583	523	319	352	366	486	414	456	550	449	640	659	345	291	473	494	400
Psmc3ip	106	83	148	137	140	94	88	58	75	90	80	93	49	77	124	44	41	55	68	74
Gm11201	1	1	0	1	0	0	0	0	0	2	0	1	0	0	0	2	2	0	2	4
Erbin	6054	6573	8312	9000	9352	6239	6999	8287	10727	9089	7570	10264	7853	10486	11654	6204	5084	7420	10163	7884
Mir7093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm11715	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
Zdhhc24	358	403	359	652	719	310	373	389	804	678	472	513	364	677	765	467	223	494	710	707
Ankrd45	1	5	4	4	0	3	3	4	1	5	5	0	0	3	3	3	1	2	6	2
Nfkbie	480	284	388	427	495	313	258	359	391	432	499	287	260	343	496	241	90	282	414	329
Sox3	0	1	0	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0
Panx3	1	2	11	6	11	3	4	9	24	15	0	24	12	16	17	7	13	18	7	44
Sypl	1871	2031	1864	3340	3556	1855	1799	1580	3118	2795	2635	2852	1903	3398	3930	2662	1159	2375	2969	3175
AW495222	1	0	2	2	1	1	0	3	4	3	2	2	2	4	3	3	4	5	2	4
Lasp1	13730	13020	9935	12877	15197	12930	13633	10136	13223	12322	10277	8564	5812	8056	12464	10908	3823	7241	9695	10229
Cuedc2	1386	1175	1456	2000	2299	1991	1859	2005	1995	2086	1594	1667	1063	1614	2233	1642	562	1304	1677	1870
Bpifb4	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0
Ly6g	0	1	1	1	0	2	2	4	0	0	0	0	0	0	0	0	0	0	0	0
Snora24	1.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42	0
Vmn1r66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snrpa1	971	940	910	1062	1038	800	827	536	683	594	713	655	447	604	871	448	220	372	417	481
Luc7l	1530	1458	1632	2364	2613	1233	1262	1324	1787	1719	1631	1969	1367	2017	2500	1490	769	1267	2097	1754
